Name,ID,Balance,Location,Note
DMEM,gibco 11995-065,~0.2 l,"+4 (114l, bottle, r. left)",
Trypsin-EDTA,Sigma T4049,"4x45 ml & 5x10 ml, 5x45 ml","-10 (114l), -20 (410a, TCR box)",
FBS,Sigma S0615,6x5 ml & 2x40 ml,-10 (114l),
Gentamicin 10 mg/ml,gibco 15710-049,~40 ml,+4 (114r),
Lipofectamine 3000,invitrogen L3000-001,~0.5 ml L3000 & ~0.5 ml P3000,"+4 (114l, door)",
DMSO,Sigma D-8779,9.75 ml,"+4 (114l, r. right)",
AM NP-EGTA,Mol. Prob. N-6803,5x2 ul (5 mM in DMSO),"-10 (404, Ca2+ stuff aliquot box)","Diss. 23.07.2020 , freeze 27.07.2020"
AM Fluo-4,Mol. Prob. F-14201,3x2 ul (5 mM in DMSO),"-10 (404, Ca2+ stuff aliquot box)","Diss. 23.07.2020 , freeze 27.07.2020"
AM Fura Red,Invitrogen F3021,4x2 ul (5 mM in DMSO),"-10 (404, Ca2+ stuff aliquot box)","Diss. 27.07.2020 , freeze 27.07.2020"
,,,,
Update 27.08.2020,,,,
