Name,ID,Prepared,Tare,Balance,Location,Note
DMEM+,-,12.08,"Falcon 15 ml, tube 5 ml",3x5 ml,"114l, r. center",intact after prep.
DMEM+ max gent.,-,17.08,Tube 5 ml,5 ml,"114l, r. center",100 ug/ml Gent.
DMEM-,Gibco 11995-065,28.07,Tube 5 ml,3.9 ml,"114l, box",
DMEM-,Gibco 11995-065,28.07,Tube 5 ml,5 ml,"114l, r. left",intact after prep.
CryoDMEM,-,16.07,Tube 5 ml,2 ml,"114l, -10",
Trypsin-EDTA,Sigma T4049,u.f. 20.07,Falcon 15 ml,4 ml,"114l, r. left",
Gentamicin,gibco 15710-049,22.06,Tube 2x5 ml,4.5 ml & ~80 ul,"114l, box",
AM NP-EGTA,Mol. Prob. N-6803,u.f. 31.07,Epp. 0.5 ml,1.5 ul,"114l, Ca stuff box",5 mM in DMSO
AM Fura Red,Invitrogen F3021,u.f. 31.07,Epp. 0.5 ml,1.85 ul,"114l, Ca stuff box",5 mM in DMSO
AM Fluo-4,Mol. Prob. F-14201,u.f. 1.08,Epp. 0.5 ml,1.8 ul,"114l, Ca stuff box",5 mM in DMSO
,,,,,,
Update 17.08.2020,,,,,,
